area,report,date
Likoni,No water at all for over 13 days in most households.,2025-01-30
Tudor,The water tastes metallic and looks unsafe.,2025-06-20
Changamwe,The water coming from the tap is brown and smells strange.,2025-01-04
Mikindani,"The supply is irregular, we only get water on certain days.",2025-04-26
Nyali,No water at all for over 3 days in most households.,2025-07-09
Likoni,We haven't had water for 11 days. All tanks are empty.,2025-07-14
Kisauni,We haven't had water for 6 days. All tanks are empty.,2025-07-26
Bamburi,No water at all for over 10 days in most households.,2025-02-12
Nyali,We haven't had water for 5 days. All tanks are empty.,2025-01-11
Shanzu,"The supply is irregular, we only get water on certain days.",2025-03-08
Nyali,The water coming from the tap is brown and smells strange.,2025-05-13
Tudor,There is sewage mixing with the tap water in this area.,2025-07-06
Kisauni,The water tastes metallic and looks unsafe.,2025-05-03
Likoni,"The supply is irregular, we only get water on certain days.",2025-07-02
Kisauni,Water bills are being charged despite no supply for 2 days.,2025-09-01
Port Reitz,"The supply is irregular, we only get water on certain days.",2025-07-22
Tudor,I only get water for an hour every morning. The pressure is too low.,2025-02-07
Likoni,The water coming from the tap is brown and smells strange.,2025-08-15
Tudor,The water coming from the tap is brown and smells strange.,2025-08-15
Nyali,The water coming from the tap is brown and smells strange.,2025-03-25
Mtwapa,We haven't had water for 14 days. All tanks are empty.,2025-08-27
Bamburi,We haven't had water for 10 days. All tanks are empty.,2025-06-22
Nyali,We haven't had water for 11 days. All tanks are empty.,2025-05-03
Tudor,We haven't had water for 4 days. All tanks are empty.,2025-07-28
Likoni,The water coming from the tap is brown and smells strange.,2025-04-14
Tudor,The water is muddy and leaves stains on clothes.,2025-05-07
Mtwapa,The water tastes metallic and looks unsafe.,2025-05-10
Mikindani,"The supply is irregular, we only get water on certain days.",2025-06-30
Mtwapa,The water is muddy and leaves stains on clothes.,2025-08-21
Tudor,Water bills are being charged despite no supply for 10 days.,2025-06-28
Kisauni,The water coming from the tap is brown and smells strange.,2025-01-17
Mikindani,No water at all for over 7 days in most households.,2025-07-24
Tudor,The water is muddy and leaves stains on clothes.,2025-03-20
Changamwe,The water is muddy and leaves stains on clothes.,2025-01-15
Shanzu,Water bills are being charged despite no supply for 4 days.,2025-01-01
Kisauni,The water tastes metallic and looks unsafe.,2025-02-24
Port Reitz,There is sewage mixing with the tap water in this area.,2025-03-05
Nyali,There is sewage mixing with the tap water in this area.,2025-06-06
Bamburi,No water at all for over 8 days in most households.,2025-08-16
Tudor,The water tastes metallic and looks unsafe.,2025-08-14
Shanzu,The water coming from the tap is brown and smells strange.,2025-01-31
Likoni,Water bills are being charged despite no supply for 10 days.,2025-04-18
Nyali,We haven't had water for 8 days. All tanks are empty.,2025-01-24
Mikindani,No water at all for over 6 days in most households.,2025-04-02
Nyali,The water coming from the tap is brown and smells strange.,2025-03-31
Mtwapa,"The supply is irregular, we only get water on certain days.",2025-07-15
Tudor,The water tastes metallic and looks unsafe.,2025-08-27
Likoni,"The supply is irregular, we only get water on certain days.",2025-07-11
Kisauni,The water tastes metallic and looks unsafe.,2025-06-01
Tudor,The water is muddy and leaves stains on clothes.,2025-07-28
Port Reitz,The water tastes metallic and looks unsafe.,2025-07-21
Bamburi,The water tastes metallic and looks unsafe.,2025-05-14
Bamburi,The water tastes metallic and looks unsafe.,2025-07-07
Mikindani,There is sewage mixing with the tap water in this area.,2025-09-05
Mtwapa,Water bills are being charged despite no supply for 6 days.,2025-05-26
Mikindani,We haven't had water for 8 days. All tanks are empty.,2025-02-19
Tudor,"The supply is irregular, we only get water on certain days.",2025-01-12
Nyali,"There's a massive burst pipe on the main road, water is everywhere.",2025-08-07
Nyali,No water at all for over 8 days in most households.,2025-04-13
Tudor,"There's a massive burst pipe on the main road, water is everywhere.",2025-05-08
Tudor,Water bills are being charged despite no supply for 3 days.,2025-08-05
Tudor,The water is muddy and leaves stains on clothes.,2025-08-22
Tudor,I only get water for an hour every morning. The pressure is too low.,2025-01-27
Likoni,The water coming from the tap is brown and smells strange.,2025-01-04
Tudor,"There's a massive burst pipe on the main road, water is everywhere.",2025-04-04
Tudor,There is sewage mixing with the tap water in this area.,2025-08-30
Mikindani,"The supply is irregular, we only get water on certain days.",2025-04-29
Mtwapa,There is sewage mixing with the tap water in this area.,2025-06-28
Bamburi,No water at all for over 11 days in most households.,2025-01-04
Shanzu,The water is muddy and leaves stains on clothes.,2025-06-10
Kisauni,No water at all for over 10 days in most households.,2025-05-24
Shanzu,The water coming from the tap is brown and smells strange.,2025-08-19
Mikindani,We haven't had water for 9 days. All tanks are empty.,2025-01-14
Kisauni,The water coming from the tap is brown and smells strange.,2025-06-05
Nyali,Water bills are being charged despite no supply for 4 days.,2025-08-19
Mtwapa,The water coming from the tap is brown and smells strange.,2025-04-19
Mikindani,I only get water for an hour every morning. The pressure is too low.,2025-06-13
Mtwapa,The water tastes metallic and looks unsafe.,2025-05-22
Tudor,Water bills are being charged despite no supply for 6 days.,2025-04-20
Likoni,There is sewage mixing with the tap water in this area.,2025-07-19
Mikindani,"There's a massive burst pipe on the main road, water is everywhere.",2025-07-02
Changamwe,"There's a massive burst pipe on the main road, water is everywhere.",2025-06-01
Nyali,We haven't had water for 9 days. All tanks are empty.,2025-04-04
Port Reitz,The water tastes metallic and looks unsafe.,2025-05-28
Changamwe,The water tastes metallic and looks unsafe.,2025-02-21
Mikindani,The water coming from the tap is brown and smells strange.,2025-08-21
Likoni,No water at all for over 9 days in most households.,2025-06-24
Bamburi,No water at all for over 4 days in most households.,2025-03-17
Port Reitz,The water coming from the tap is brown and smells strange.,2025-04-17
Changamwe,No water at all for over 2 days in most households.,2025-03-07
Mikindani,I only get water for an hour every morning. The pressure is too low.,2025-01-05
Port Reitz,No water at all for over 11 days in most households.,2025-07-20
Mikindani,No water at all for over 5 days in most households.,2025-06-01
Likoni,I only get water for an hour every morning. The pressure is too low.,2025-01-26
Shanzu,The water is muddy and leaves stains on clothes.,2025-05-14
Shanzu,The water tastes metallic and looks unsafe.,2025-03-07
Kisauni,The water is muddy and leaves stains on clothes.,2025-04-17
Nyali,The water coming from the tap is brown and smells strange.,2025-02-06
Nyali,"The supply is irregular, we only get water on certain days.",2025-08-29
Bamburi,We haven't had water for 14 days. All tanks are empty.,2025-07-13
Port Reitz,The water coming from the tap is brown and smells strange.,2025-01-03
Likoni,"There's a massive burst pipe on the main road, water is everywhere.",2025-03-18
Nyali,The water coming from the tap is brown and smells strange.,2025-06-25
Bamburi,The water coming from the tap is brown and smells strange.,2025-05-16
Shanzu,Water bills are being charged despite no supply for 6 days.,2025-05-27
Changamwe,I only get water for an hour every morning. The pressure is too low.,2025-03-05
Mtwapa,"The supply is irregular, we only get water on certain days.",2025-04-19
Likoni,The water coming from the tap is brown and smells strange.,2025-07-31
Shanzu,The water coming from the tap is brown and smells strange.,2025-07-09
Shanzu,Water bills are being charged despite no supply for 6 days.,2025-07-31
Nyali,Water bills are being charged despite no supply for 9 days.,2025-02-10
Changamwe,"The supply is irregular, we only get water on certain days.",2025-06-27
Port Reitz,The water tastes metallic and looks unsafe.,2025-03-31
Port Reitz,We haven't had water for 7 days. All tanks are empty.,2025-08-26
Mikindani,The water tastes metallic and looks unsafe.,2025-04-13
Kisauni,The water is muddy and leaves stains on clothes.,2025-01-02
Port Reitz,"The supply is irregular, we only get water on certain days.",2025-05-29
Likoni,I only get water for an hour every morning. The pressure is too low.,2025-07-19
Nyali,"There's a massive burst pipe on the main road, water is everywhere.",2025-03-27
Changamwe,There is sewage mixing with the tap water in this area.,2025-02-08
Changamwe,The water coming from the tap is brown and smells strange.,2025-01-26
Mtwapa,No water at all for over 7 days in most households.,2025-05-29
Port Reitz,There is sewage mixing with the tap water in this area.,2025-01-09
Mikindani,"The supply is irregular, we only get water on certain days.",2025-05-03
Mtwapa,There is sewage mixing with the tap water in this area.,2025-07-10
Tudor,"There's a massive burst pipe on the main road, water is everywhere.",2025-03-25
Port Reitz,"The supply is irregular, we only get water on certain days.",2025-06-13
Changamwe,The water coming from the tap is brown and smells strange.,2025-03-23
Tudor,"The supply is irregular, we only get water on certain days.",2025-07-22
Port Reitz,"The supply is irregular, we only get water on certain days.",2025-01-26
Tudor,Water bills are being charged despite no supply for 2 days.,2025-04-05
Port Reitz,The water coming from the tap is brown and smells strange.,2025-07-11
Shanzu,No water at all for over 10 days in most households.,2025-08-22
Port Reitz,We haven't had water for 4 days. All tanks are empty.,2025-05-23
Port Reitz,No water at all for over 14 days in most households.,2025-01-19
Shanzu,We haven't had water for 2 days. All tanks are empty.,2025-08-06
Kisauni,"The supply is irregular, we only get water on certain days.",2025-06-07
Kisauni,The water is muddy and leaves stains on clothes.,2025-06-07
Mikindani,Water bills are being charged despite no supply for 7 days.,2025-04-01
Port Reitz,No water at all for over 9 days in most households.,2025-08-27
Mikindani,The water is muddy and leaves stains on clothes.,2025-08-15
Tudor,The water coming from the tap is brown and smells strange.,2025-05-20
Tudor,"There's a massive burst pipe on the main road, water is everywhere.",2025-04-07
Port Reitz,The water is muddy and leaves stains on clothes.,2025-07-06
Changamwe,We haven't had water for 13 days. All tanks are empty.,2025-05-11
Shanzu,The water tastes metallic and looks unsafe.,2025-03-24
Tudor,I only get water for an hour every morning. The pressure is too low.,2025-02-22
Mtwapa,The water is muddy and leaves stains on clothes.,2025-05-03
Tudor,I only get water for an hour every morning. The pressure is too low.,2025-06-20
Mtwapa,"There's a massive burst pipe on the main road, water is everywhere.",2025-07-20
Nyali,"There's a massive burst pipe on the main road, water is everywhere.",2025-04-14
Tudor,Water bills are being charged despite no supply for 7 days.,2025-06-14
Port Reitz,The water is muddy and leaves stains on clothes.,2025-04-13
